time,Latitude,,Longitude,
235357,4202.1142,N,7141.7854,W
235358,4202.1142,N,7141.7854,W
235359,4202.1142,N,7141.7854,W
235400,4202.1142,N,7141.7854,W
235401,4202.1142,N,7141.7854,W
235402,4202.1142,N,7141.7854,W
235403,4202.1142,N,7141.7854,W
235404,4202.1142,N,7141.7854,W
235405,4202.1142,N,7141.7854,W
235406,4202.1142,N,7141.7854,W
235407,4202.1142,N,7141.7854,W
235408,4202.1142,N,7141.7854,W
235409,4202.1142,N,7141.7854,W
235410,4202.1142,N,7141.7854,W
235411,4202.1142,N,7141.7854,W
235412,4202.1142,N,7141.7854,W
235413,4202.1142,N,7141.7854,W
235414,4202.1142,N,7141.7854,W
235415,4202.1142,N,7141.7854,W
235416,4202.1142,N,7141.7854,W
235417,4202.1142,N,7141.7854,W
235418,4202.1142,N,7141.7854,W
235419,4202.1142,N,7141.7854,W
235420,4202.1142,N,7141.7854,W
235421,4202.1142,N,7141.7854,W
235422,4202.1142,N,7141.7854,W
235423,4202.1142,N,7141.7854,W
235424,4202.1142,N,7141.7854,W
235425,4202.1142,N,7141.7854,W
235426,4202.1142,N,7141.7854,W
235427,4202.1142,N,7141.7854,W
235428,4202.1142,N,7141.7854,W
235429,4202.1142,N,7141.7854,W
235430,4202.1142,N,7141.7854,W
235431,4202.1142,N,7141.7854,W
235432,4202.1142,N,7141.7854,W
235433,4202.1142,N,7141.7854,W
235434,4202.1142,N,7141.7854,W
235435,4202.1142,N,7141.7854,W
235436,4202.1142,N,7141.7854,W
235437,4202.1142,N,7141.7854,W
235438,4202.1142,N,7141.7854,W
235439,4202.1142,N,7141.7854,W
235440,4202.1142,N,7141.7854,W
235441,4202.1142,N,7141.7854,W
235442,4202.1142,N,7141.7854,W
235443,4202.1142,N,7141.7854,W
235444,4202.1142,N,7141.7854,W
235445,4202.1142,N,7141.7854,W
235446,4202.1142,N,7141.7854,W
235447,4202.1142,N,7141.7854,W
235448,4202.1142,N,7141.7854,W
235449,4202.1142,N,7141.7854,W
235450,4202.1142,N,7141.7854,W
235451,4202.1142,N,7141.7854,W
235452,4202.1142,N,7141.7854,W
235453,4202.1142,N,7141.7854,W
235454,4202.1142,N,7141.7854,W
235455,4202.1142,N,7141.7854,W
235456,4202.1142,N,7141.7854,W
235457,4202.1142,N,7141.7854,W
235458,4202.1142,N,7141.7854,W
235459,4202.1142,N,7141.7854,W
235500,4202.1142,N,7141.7854,W
235501,4202.1142,N,7141.7854,W
235502,4202.1142,N,7141.7854,W
235503,4202.1142,N,7141.7854,W
235504,4202.1142,N,7141.7854,W
235505,4202.1142,N,7141.7854,W
235506,4202.1142,N,7141.7854,W
235507,4202.1142,N,7141.7854,W
235508,4202.1142,N,7141.7854,W
235509,4202.1142,N,7141.7854,W
235510,4202.1142,N,7141.7854,W
235511,4202.1142,N,7141.7854,W
235512,4202.1142,N,7141.7854,W
235513,4202.1142,N,7141.7854,W
235514,4202.1142,N,7141.7854,W
235515,4202.1142,N,7141.7854,W
235516,4202.1142,N,7141.7854,W
235517,4202.1142,N,7141.7854,W
235518,4202.1142,N,7141.7854,W
235519,4202.1142,N,7141.7854,W
235520,4202.1142,N,7141.7854,W
235521,4202.1142,N,7141.7854,W
235522,4202.1142,N,7141.7854,W
235523,4202.1142,N,7141.7854,W
235524,4202.1142,N,7141.7854,W
235525,4202.1142,N,7141.7854,W
235526,4202.1142,N,7141.7853,W
235527,4202.1142,N,7141.7853,W
235528,4202.1142,N,7141.7853,W
235529,4202.1142,N,7141.7853,W
235530,4202.1142,N,7141.7853,W
235531,4202.1142,N,7141.7853,W
235532,4202.1142,N,7141.7853,W
235533,4202.1142,N,7141.7853,W
235534,4202.1142,N,7141.7853,W
235535,4202.1142,N,7141.7853,W
235536,4202.1142,N,7141.7853,W
235537,4202.1142,N,7141.7853,W
235538,4202.1142,N,7141.7853,W
235539,4202.1142,N,7141.7853,W
235540,4202.1142,N,7141.7853,W
235541,4202.1142,N,7141.7853,W
235542,4202.1142,N,7141.7853,W
235543,4202.1142,N,7141.7853,W
235544,4202.1142,N,7141.7853,W
235545,4202.1142,N,7141.7853,W
235546,4202.1142,N,7141.7853,W
235547,4202.1142,N,7141.7853,W
235548,4202.1142,N,7141.7853,W
235549,4202.1142,N,7141.7853,W
235550,4202.1142,N,7141.7853,W
235551,4202.1142,N,7141.7853,W
235552,4202.1142,N,7141.7853,W
235553,4202.1142,N,7141.7853,W
235554,4202.1142,N,7141.7853,W
235555,4202.1142,N,7141.7853,W
235556,4202.1142,N,7141.7853,W
235557,4202.1142,N,7141.7853,W
235558,4202.1142,N,7141.7853,W
235559,4202.1142,N,7141.7853,W
235600,4202.1142,N,7141.7853,W
235601,4202.1142,N,7141.7853,W
235602,4202.1142,N,7141.7853,W
235603,4202.1142,N,7141.7853,W
235604,4202.1142,N,7141.7853,W
235605,4202.1142,N,7141.7853,W
235606,4202.1142,N,7141.7853,W
235607,4202.1142,N,7141.7853,W
235608,4202.1142,N,7141.7853,W
235609,4202.1142,N,7141.7853,W
235610,4202.1142,N,7141.7853,W
235611,4202.1142,N,7141.7853,W
235612,4202.1142,N,7141.7853,W
235613,4202.1142,N,7141.7853,W
235614,4202.1142,N,7141.7853,W
235615,4202.1142,N,7141.7853,W
235616,4202.1142,N,7141.7853,W
235617,4202.1142,N,7141.7853,W
235618,4202.1142,N,7141.7853,W
235619,4202.1142,N,7141.7853,W
235620,4202.1142,N,7141.7853,W
235621,4202.1142,N,7141.7853,W
235622,4202.1142,N,7141.7853,W
235623,4202.1142,N,7141.7853,W
235624,4202.1142,N,7141.7853,W
235625,4202.1142,N,7141.7853,W
235626,4202.1142,N,7141.7853,W
235627,4202.1142,N,7141.7853,W
235628,4202.1142,N,7141.7853,W
235629,4202.1142,N,7141.7853,W
235630,4202.1142,N,7141.7853,W
235631,4202.1142,N,7141.7853,W
235632,4202.1142,N,7141.7853,W
235633,4202.1142,N,7141.7853,W
235634,4202.1142,N,7141.7853,W
235635,4202.1142,N,7141.7853,W
235636,4202.1142,N,7141.7853,W
235637,4202.1142,N,7141.7853,W
235638,4202.1142,N,7141.7853,W
235639,4202.1142,N,7141.7853,W
235640,4202.1142,N,7141.7853,W
235641,4202.1142,N,7141.7853,W
235642,4202.1142,N,7141.7853,W
235643,4202.1142,N,7141.7853,W
235644,4202.1142,N,7141.7853,W
235645,4202.1142,N,7141.7853,W
235646,4202.1142,N,7141.7853,W
235647,4202.1142,N,7141.7853,W
235648,4202.1142,N,7141.7853,W
235649,4202.1142,N,7141.7853,W
235650,4202.1142,N,7141.7853,W
235651,4202.1142,N,7141.7853,W
235652,4202.1142,N,7141.7853,W
235653,4202.1141,N,7141.7853,W
235654,4202.1141,N,7141.7853,W
235655,4202.1141,N,7141.7853,W
235656,4202.1141,N,7141.7853,W
235657,4202.1141,N,7141.7853,W
235658,4202.1141,N,7141.7853,W
235659,4202.1141,N,7141.7853,W
235700,4202.1141,N,7141.7853,W
235701,4202.1141,N,7141.7853,W
235702,4202.1141,N,7141.7853,W
235703,4202.1141,N,7141.7853,W
235704,4202.1141,N,7141.7853,W
235705,4202.1141,N,7141.7853,W
235706,4202.1141,N,7141.7853,W
235707,4202.1141,N,7141.7853,W
235708,4202.1141,N,7141.7853,W
235709,4202.1141,N,7141.7853,W
235710,4202.1141,N,7141.7853,W
235711,4202.1141,N,7141.7853,W
235712,4202.1141,N,7141.7853,W
235713,4202.1141,N,7141.7853,W
235714,4202.1141,N,7141.7853,W
235715,4202.1141,N,7141.7853,W
235716,4202.1141,N,7141.7853,W
235717,4202.1141,N,7141.7853,W
235718,4202.1141,N,7141.7853,W
235719,4202.1141,N,7141.7853,W
235720,4202.1141,N,7141.7853,W
235721,4202.1141,N,7141.7853,W
235722,4202.1141,N,7141.7853,W
235723,4202.1141,N,7141.7853,W
235724,4202.1142,N,7141.7853,W
235725,4202.1141,N,7141.7853,W
235726,4202.1142,N,7141.7853,W
235727,4202.1142,N,7141.7853,W
